master_term,master_term_id,yearmo,month_no,skill_pos_cnt,total_pos_cnt,loop_no
Kubernetes,121,201404,4,0,33323,53
Stata,214,201905,65,39,140823,88
Selenium,205,201502,14,250,89734,85
Cisco Application Centric Infrastructure,264,201705,41,3,119820,103
Online Analytical Processing,166,201903,63,55,123132,70
Junit,118,201710,46,438,128582,51
Secret Security Clearance,276,201610,34,29,95676,107
SQL Server Reporting Services,148,201405,5,87,31909,61
Blockchain,39,201704,40,0,104890,18
Internal Auditor,108,201901,61,130,122037,48
Mergers and Acquisitions,135,201711,47,83,102152,57
CICS,55,201808,56,33,149917,25
The Raiser's Edge,37,201707,43,2,101309,17
T-SQL,232,201506,18,189,99253,92
Revit,33,201802,50,277,109017,13
Drupal,73,201503,15,73,102726,36
erwin,80,201508,20,101,94594,38
NoSQL,165,201507,19,435,97791,69
AutoCAD,31,201803,51,712,121459,12
Delphi Technology,68,201508,20,23,94594,32
Marketo,129,201510,22,84,98076,56
Revit,33,201709,45,178,114349,13
SQL Server,147,201407,7,903,68567,60
Django,71,201809,57,2,114604,34
Certified Financial Planner,45,201712,48,1,76994,23
The Raiser's Edge,37,201904,64,0,132847,17
Yardi,248,201412,12,1,63051,98
SQL Server,147,201503,15,1777,102726,60
Junit,118,201405,5,52,31909,51
Computer Aided Design and Drafting,61,201503,15,136,102726,27
Delphi Technology,68,201506,18,7,99253,32
After Effects,5,201506,18,50,99253,3
AWS Cloud,34,201804,52,535,119002,14
Revit,33,201605,29,130,89037,13
After Effects,5,201704,40,38,104890,3
Marketo,129,201512,24,0,70310,56
Online Analytical Processing,166,201801,49,29,115683,70
QuickBooks,109,201711,47,34,102152,49
Blockchain,39,201612,36,0,62773,18
XHTML,246,201610,34,68,95676,97
Apache HTTP Server,20,201906,66,1,102962,8
QuickBooks,109,201607,31,48,88166,49
Data Entry Software,66,201508,20,185,94594,31
Mastercam,58,201907,67,7,26524,26
After Effects,5,201706,42,47,112365,3
XHTML,246,201606,30,13,98515,97
Cognos Impromptu,100,201707,43,0,101309,44
Natural Language Processing,270,201704,40,43,104890,105
ASP.NET,28,201904,64,837,132847,10
AEM Developer,266,201809,57,67,114604,104
Data Entry Software,66,201702,38,174,92181,31
Outlook,142,201703,39,2820,110263,59
T-SQL,232,201812,60,163,82761,92
MicroStrategy,153,201503,15,170,102726,63
Cost Accounting,63,201803,51,81,121459,29
Golang,91,201705,41,57,119820,43
ActiveX,2,201509,21,2,93766,1
MySQL,158,201610,34,448,95676,66
SQL Server,147,201606,30,1376,98515,60
Workforce Now,13,201605,29,4,89037,6
Bash,35,201403,3,24,32230,15
Certified Financial Planner,45,201707,43,0,101309,23
QlikView,186,201604,28,45,91296,74
T-SQL,232,201410,10,80,106289,92
Natural Language Processing,270,201706,42,1,112365,105
Stata,214,201602,26,1,87681,88
Network Support,163,201402,2,64,27637,68
ASP.NET,28,201705,41,705,119820,10
SQL Server Reporting Services,148,201412,12,72,63051,61
QuickBooks,109,201512,24,30,70310,49
GIS Software,89,201801,49,7,115683,42
Ruby,194,201705,41,483,119820,78
Dynamics,138,201502,14,3641,89734,58
InfoSphere DataStage,102,201711,47,153,102152,45
Ruby on Rails,195,201901,61,204,122037,79
Django,71,201804,52,41,119002,34
NoSQL,165,201609,33,207,95325,69
Switching and Routing,220,201502,14,223,89734,89
Linux  ,126,201706,42,3442,112365,54
SolidWorks,259,201804,52,256,119002,101
Selenium,205,201507,19,479,97791,85
Sheet Metal Mechanic,206,201805,53,87,124699,86
GIS Software,89,201809,57,4,114604,42
Dynamics,138,201702,38,2631,92181,58
The Raiser's Edge,37,201711,47,2,102152,17
Django,71,201404,4,1,33323,34
Linux Scripting,127,201707,43,9,101309,55
Junit,118,201608,32,261,104211,51
ActionScript,4,201708,44,20,123189,2
MySQL,158,201708,44,334,123189,66
Blockchain,39,201703,39,1,110263,18
Visual Basic,238,201505,17,1364,88049,93
VPN,241,201704,40,272,104890,95
ActiveX,2,201802,50,5,109017,1
VPN,241,201506,18,411,99253,95
Ruby on Rails,195,201906,66,27,102962,79
Data Entry Software,66,201711,47,498,102152,31
Dreamweaver,7,201707,43,18,101309,4
Golang,91,201903,63,11,123132,43
Certified Credit Professional,44,201507,19,9,97791,22
Top Secret Security Clearance,274,201708,44,15,123189,106
Linux  ,126,201511,23,1961,89588,54
QlikView,186,201809,57,49,114604,74
Dynamics,138,201407,7,2427,68567,58
Delphi Technology,68,201701,37,4,93237,32
Delphi Technology,68,201807,55,5,119017,32
Minitab,156,201406,6,10,32800,65
SketchUp Pro,230,201506,18,10,99253,91
TIG Welding,229,201412,12,122,63051,90
Dynamics,138,201804,52,2561,119002,58
Linux  ,126,201406,6,406,32800,54
Spring Boot,211,201706,42,194,112365,87
Dynamics,138,201611,35,2176,83334,58
Chatbot,53,201412,12,0,63051,24
Risk Analyst,192,201404,4,55,33323,76
MicroStrategy,153,201707,43,34,101309,63
Revit,33,201510,22,127,98076,13
FileMaker Pro,85,201407,7,2,68567,40
Risk Analyst,192,201809,57,505,114604,76
Visual Basic,238,201507,19,1406,97791,93
Epic Systems,79,201812,60,202,82761,37
CATIA,42,201810,58,61,138853,20
Augmented Reality,30,201710,46,3,128582,11
TIG Welding,229,201709,45,276,114349,90
Kubernetes,121,201812,60,194,82761,53
AWS Cloud,34,201401,1,24,33846,14
Workforce Now,13,201503,15,0,102726,6
WildFly,190,201604,28,408,91296,75
CATIA,42,201702,38,36,92181,20
IBM Notes,103,201506,18,0,99253,46
Natural Language Processing,270,201501,13,3,93237,105
Mastercam,58,201609,33,22,95325,26
Security Testing and Auditing,204,201906,66,141,102962,84
PostgreSQL,182,201702,38,207,92181,73
CATIA,42,201701,37,41,93237,20
Junit,118,201402,2,40,27637,51
Cost Accounting,63,201710,46,123,128582,29
ASP.NET,28,201703,39,854,110263,10
Certified Credit Professional,44,201407,7,4,68567,22
KornShell,120,201603,27,39,100182,52
Content Strategy,62,201710,46,119,128582,28
Internal Auditor,108,201607,31,37,88166,48
Workforce Now,13,201404,4,1,33323,6
Security Testing and Auditing,204,201410,10,111,106289,84
Security Policies and Procedures,202,201808,56,119,149917,82
Epic Systems,79,201607,31,267,88166,37
VOIP,240,201605,29,338,89037,94
Drupal,73,201701,37,24,93237,36
GIS Software,89,201510,22,11,98076,42
ActionScript,4,201604,28,3,91296,2
Augmented Reality,30,201405,5,1,31909,11
The Raiser's Edge,37,201507,19,0,97791,17
NoSQL,165,201903,63,934,123132,69
The Raiser's Edge,37,201508,20,2,94594,17
Augmented Reality,30,201806,54,5,122500,11
JCL,113,201803,51,213,121459,50
Security Risk Management,203,201406,6,0,32800,83
Risk and Compliance,193,201408,8,66,88809,77
Outlook,142,201705,41,3380,119820,59
Web Security and Encryption,242,201405,5,8,31909,96
AEM Developer,266,201608,32,24,104211,104
Deployment,69,201411,11,2727,77278,33
Golang,91,201512,24,0,70310,43
Linux  ,126,201903,63,4042,123132,54
QuickBooks,109,201811,59,67,111219,49
JCL,113,201404,4,30,33323,50
T-SQL,232,201811,59,62,111219,92
Sheet Metal Mechanic,206,201412,12,12,63051,86
The Raiser's Edge,37,201512,24,0,70310,17
Outlook,142,201406,6,571,32800,59
SQL Server Reporting Services,148,201710,46,235,128582,61
Security Testing and Auditing,204,201806,54,315,122500,84
Linux  ,126,201504,16,2984,96803,54
Business Intelligence,41,201809,57,801,114604,19
Drupal,73,201511,23,18,89588,36
The Raiser's Edge,37,201607,31,1,88166,17
MIG Welding,154,201807,55,693,119017,64
AutoCAD,31,201411,11,475,77278,12
Top Secret Security Clearance,274,201512,24,2,70310,106
Risk and Compliance,193,201802,50,149,109017,77
WildFly,190,201702,38,569,92181,75
Content Strategy,62,201703,39,164,110263,28
ActionScript,4,201603,27,30,100182,2
Cisco Application Centric Infrastructure,264,201902,62,9,107087,103
VBScript,149,201811,59,45,111219,62
Bash,35,201410,10,235,106289,15
Delphi Technology,68,201811,59,1,111219,32
TIG Welding,229,201601,25,133,88469,90
CICS,55,201509,21,131,93766,25
Solr,22,201410,10,31,106289,9
Fireworks,8,201407,7,145,68567,5
erwin,80,201606,30,37,98515,38
InfoSphere DataStage,102,201502,14,212,89734,45
Deployment,69,201506,18,3755,99253,33
Mastercam,58,201405,5,14,31909,26
InfoSphere DataStage,102,201806,54,140,122500,45
Yardi,248,201608,32,3,104211,98
erwin,80,201410,10,24,106289,38
Visual Basic,238,201602,26,516,87681,93
Kubernetes,121,201801,49,121,115683,53
Apache HTTP Server,20,201501,13,35,93237,8
Stata,214,201408,8,0,88809,88
Kubernetes,121,201907,67,54,26524,53
ActiveX,2,201508,20,17,94594,1
Mergers and Acquisitions,135,201502,14,127,89734,57
Spring Boot,211,201406,6,0,32800,87
Deployment,69,201707,43,3674,101309,33
QlikView,186,201403,3,3,32230,74
The Raiser's Edge,37,201708,44,1,123189,17
Risk and Compliance,193,201608,32,255,104211,77
Drupal,73,201609,33,64,95325,36
QuickBooks,109,201801,49,52,115683,49
Outlook,142,201701,37,2976,93237,59
Epic Systems,79,201503,15,198,102726,37
Spring Boot,211,201801,49,176,115683,87
SPSS Statistics,105,201511,23,15,89588,47
Selenium,205,201512,24,298,70310,85
MIG Welding,154,201602,26,319,87681,64
AutoCAD,31,201804,52,694,119002,12
ActiveX,2,201612,36,3,62773,1
Certified Anti Money Laundering Specialist,43,201706,42,0,112365,21
Revit,33,201611,35,169,83334,13
AWS Cloud,34,201901,61,610,122037,14
Top Secret Security Clearance,274,201703,39,2,110263,106
SAS,201,201801,49,345,115683,81
SolidWorks,259,201702,38,203,92181,101
Financial Industry Regulatory Authority,86,201809,57,11,114604,41
Security Testing and Auditing,204,201412,12,121,63051,84
Natural Language Processing,270,201602,26,78,87681,105
NoSQL,165,201807,55,408,119017,69
Secret Security Clearance,276,201601,25,15,88469,107
Natural Language Processing,270,201803,51,66,121459,105
Bash,35,201805,53,419,124699,15
VOIP,240,201706,42,235,112365,94
SketchUp Pro,230,201501,13,6,93237,91
Blockchain,39,201510,22,0,98076,18
MIG Welding,154,201406,6,503,32800,64
Chatbot,53,201809,57,5,114604,24
Junit,118,201406,6,20,32800,51
erwin,80,201511,23,33,89588,38
Typescript,260,201509,21,6,93766,102
Deployment,69,201701,37,3640,93237,33
Business Intelligence,41,201511,23,380,89588,19
MicroStrategy,153,201412,12,57,63051,63
QlikView,186,201901,61,95,122037,74
AWS Cloud,34,201707,43,79,101309,14
IBM Notes,103,201703,39,1,110263,46
Content Strategy,62,201811,59,135,111219,28
Kubernetes,121,201901,61,314,122037,53
Augmented Reality,30,201907,67,0,26524,11
End User Support,253,201906,66,316,102962,100
Natural Language Processing,270,201601,25,40,88469,105
MySQL,158,201902,62,585,107087,66
Visual Basic,238,201810,58,346,138853,93
MicroStrategy,153,201905,65,179,140823,63
Top Secret Security Clearance,274,201907,67,1,26524,106
Web Security and Encryption,242,201704,40,127,104890,96
T-SQL,232,201609,33,139,95325,92
WildFly,190,201708,44,267,123189,75
Blockchain,39,201805,53,5,124699,18
Cognos Impromptu,100,201701,37,0,93237,44
Dreamweaver,7,201905,65,48,140823,4
Content Strategy,62,201807,55,78,119017,28
Outlook,142,201711,47,2827,102152,59
Network Support,163,201406,6,27,32800,68
Epic Systems,79,201411,11,236,77278,37
SAS,201,201509,21,246,93766,81
VPN,241,201802,50,378,109017,95
ASP.NET,28,201611,35,271,83334,10
Mergers and Acquisitions,135,201403,3,3,32230,57
MicroStrategy,153,201509,21,160,93766,63
Delphi Technology,68,201707,43,7,101309,32
Ruby,194,201412,12,227,63051,78
Financial Industry Regulatory Authority,86,201711,47,24,102152,41
NoSQL,165,201603,27,222,100182,69
InfoSphere DataStage,102,201707,43,94,101309,45
VBScript,149,201807,55,102,119017,62
Ruby on Rails,195,201605,29,12,89037,79
erwin,80,201502,14,55,89734,38
SPSS Statistics,105,201810,58,7,138853,47
Yardi,248,201701,37,25,93237,98
Django,71,201606,30,42,98515,34
Security Risk Management,203,201407,7,95,68567,83
SQL Server Reporting Services,148,201603,27,307,100182,61
VBScript,149,201809,57,28,114604,62
Sheet Metal Mechanic,206,201411,11,7,77278,86
VOIP,240,201404,4,108,33323,94
Network Support,163,201605,29,148,89037,68
WildFly,190,201506,18,501,99253,75
Dreamweaver,7,201608,32,104,104211,4
Natural Language Processing,270,201903,63,169,123132,105
Ruby on Rails,195,201406,6,11,32800,79
Deployment,69,201604,28,3647,91296,33
Delphi Technology,68,201409,9,7,104405,32
GIS Software,89,201712,48,4,76994,42
SQL Server Reporting Services,148,201508,20,273,94594,61
Microstation,36,201704,40,38,104890,16
Linux  ,126,201907,67,182,26524,54
Epic Systems,79,201901,61,346,122037,37
CATIA,42,201703,39,44,110263,20
Dodd-Frank,72,201607,31,7,88166,35
Risk and Compliance,193,201807,55,250,119017,77
SQL Server,147,201605,29,1090,89037,60
Security Testing and Auditing,204,201706,42,117,112365,84
Stata,214,201807,55,0,119017,88
PostgreSQL,182,201801,49,217,115683,73
Secret Security Clearance,276,201409,9,110,104405,107
Security Policies and Procedures,202,201701,37,78,93237,82
Natural Language Processing,270,201606,30,7,98515,105
Security Testing and Auditing,204,201503,15,277,102726,84
Ruby on Rails,195,201403,3,9,32230,79
Linux Scripting,127,201604,28,1,91296,55
Network Support,163,201607,31,215,88166,68
Visual Basic,238,201512,24,914,70310,93
Online Analytical Processing,166,201602,26,91,87681,70
AutoCAD,31,201903,63,554,123132,12
Yardi,248,201503,15,3,102726,98
Security Risk Management,203,201501,13,2,93237,83
WildFly,190,201803,51,360,121459,75
Risk Analyst,192,201701,37,304,93237,76
CICS,55,201409,9,20,104405,25
VBScript,149,201707,43,26,101309,62
Computer Aided Design and Drafting,61,201704,40,32,104890,27
SolidWorks,259,201508,20,257,94594,101
External Auditor,83,201612,36,46,62773,39
MySQL,158,201402,2,81,27637,66
Spring Boot,211,201806,54,222,122500,87
Stata,214,201611,35,40,83334,88
SQL Server,147,201405,5,334,31909,60
Apache HTTP Server,20,201510,22,2,98076,8
Crystal Reports,65,201809,57,16,114604,30
IBM Notes,103,201705,41,0,119820,46
Typescript,260,201703,39,17,110263,102
Cognos Impromptu,100,201412,12,1,63051,44
Cisco Application Centric Infrastructure,264,201405,5,0,31909,103
Mergers and Acquisitions,135,201712,48,49,76994,57
Content Strategy,62,201408,8,24,88809,28
Ruby on Rails,195,201903,63,240,123132,79
Mergers and Acquisitions,135,201612,36,87,62773,57
Risk and Compliance,193,201406,6,8,32800,77
SketchUp Pro,230,201808,56,13,149917,91
Cost Accounting,63,201709,45,94,114349,29
InfoSphere DataStage,102,201701,37,76,93237,45
SAP,198,201505,17,1967,88049,80
JCL,113,201705,41,130,119820,50
Sheet Metal Mechanic,206,201511,23,37,89588,86
Financial Industry Regulatory Authority,86,201403,3,12,32230,41
TIG Welding,229,201607,31,241,88166,90
Kubernetes,121,201806,54,209,122500,53
Linux Scripting,127,201611,35,3,83334,55
ActionScript,4,201602,26,24,87681,2
Certified Credit Professional,44,201903,63,18,123132,22
MicroStrategy,153,201801,49,125,115683,63
SAP,198,201403,3,362,32230,80
Agile Development,14,201410,10,1359,106289,7
After Effects,5,201709,45,2,114349,3
Outlook,142,201504,16,2899,96803,59
SolidWorks,259,201401,1,160,33846,101
Epic Systems,79,201506,18,199,99253,37
XHTML,246,201808,56,65,149917,97
Crystal Reports,65,201707,43,36,101309,30
MicroStrategy,153,201505,17,205,88049,63
Chatbot,53,201904,64,15,132847,24
Risk and Compliance,193,201601,25,83,88469,77
Marketo,129,201404,4,2,33323,56
Spring Boot,211,201708,44,154,123189,87
WildFly,190,201705,41,643,119820,75
Switching and Routing,220,201705,41,264,119820,89
MySQL,158,201710,46,458,128582,66
IBM Notes,103,201710,46,3,128582,46
SAP,198,201801,49,2651,115683,80
AutoCAD,31,201707,43,429,101309,12
Linux Scripting,127,201406,6,5,32800,55
Mastercam,58,201712,48,27,76994,26
Certified Credit Professional,44,201708,44,13,123189,22
VBScript,149,201808,56,134,149917,62
Microstation,36,201609,33,88,95325,16
After Effects,5,201812,60,37,82761,3
Minitab,156,201712,48,169,76994,65
Pipe Welding,180,201608,32,57,104211,72
Stata,214,201610,34,34,95676,88
Mastercam,58,201704,40,31,104890,26
Security Policies and Procedures,202,201404,4,18,33323,82
ASP.NET,28,201706,42,574,112365,10
MicroStrategy,153,201708,44,104,123189,63
EnterpriseOne,171,201512,24,4,70310,71
NoSQL,165,201502,14,207,89734,69
Certified Financial Planner,45,201903,63,15,123132,23
End User Support,253,201410,10,130,106289,100
JCL,113,201611,35,37,83334,50
SQL Server,147,201703,39,1717,110263,60
Junit,118,201403,3,32,32230,51
Security Policies and Procedures,202,201901,61,233,122037,82
Secret Security Clearance,276,201506,18,11,99253,107
Ruby on Rails,195,201703,39,48,110263,79
Certified Financial Planner,45,201905,65,1,140823,23
CATIA,42,201607,31,21,88166,20
Kubernetes,121,201904,64,585,132847,53
Fireworks,8,201412,12,175,63051,5
Bash,35,201612,36,278,62773,15
Chatbot,53,201505,17,0,88049,24
Data Entry Software,66,201501,13,438,93237,31
Azure,251,201707,43,466,101309,99
VBScript,149,201603,27,98,100182,62
SAS,201,201603,27,518,100182,81
FileMaker Pro,85,201710,46,11,128582,40
CICS,55,201403,3,13,32230,25
TIG Welding,229,201907,67,93,26524,90
T-SQL,232,201704,40,92,104890,92
ASP.NET,28,201609,33,518,95325,10
Delphi Technology,68,201407,7,1,68567,32
Dynamics,138,201701,37,2611,93237,58
SketchUp Pro,230,201710,46,40,128582,91
ASP.NET,28,201401,1,209,33846,10
Web Security and Encryption,242,201511,23,22,89588,96
VOIP,240,201509,21,250,93766,94
Solr,22,201904,64,128,132847,9
MicroStrategy,153,201511,23,55,89588,63
Network Support,163,201405,5,41,31909,68
End User Support,253,201808,56,296,149917,100
EnterpriseOne,171,201906,66,1,102962,71
CATIA,42,201606,30,56,98515,20
Visual Basic,238,201707,43,522,101309,93
Golang,91,201711,47,43,102152,43
Dreamweaver,7,201507,19,170,97791,4
Dodd-Frank,72,201508,20,175,94594,35
Bash,35,201406,6,37,32800,15
SolidWorks,259,201507,19,463,97791,101
VBScript,149,201509,21,68,93766,62
Online Analytical Processing,166,201512,24,70,70310,70
Network Support,163,201810,58,124,138853,68
Visual Basic,238,201710,46,573,128582,93
SQL Server Reporting Services,148,201701,37,219,93237,61
Marketo,129,201405,5,1,31909,56
VBScript,149,201503,15,319,102726,62
AEM Developer,266,201708,44,52,123189,104
AWS Cloud,34,201705,41,510,119820,14
IBM Notes,103,201503,15,0,102726,46
TIG Welding,229,201402,2,136,27637,90
Risk Analyst,192,201807,55,648,119017,76
FileMaker Pro,85,201612,36,1,62773,40
Minitab,156,201505,17,101,88049,65
NetSuite ERP,161,201609,33,13,95325,67
Minitab,156,201407,7,34,68567,65
SAS,201,201403,3,40,32230,81
CICS,55,201806,54,122,122500,25
Apache HTTP Server,20,201611,35,26,83334,8
ASP.NET,28,201907,67,36,26524,10
Content Strategy,62,201611,35,25,83334,28
The Raiser's Edge,37,201610,34,1,95676,17
Security Policies and Procedures,202,201703,39,37,110263,82
Pipe Welding,180,201705,41,81,119820,72
Computer Aided Design and Drafting,61,201801,49,70,115683,27
TIG Welding,229,201502,14,211,89734,90
Secret Security Clearance,276,201503,15,9,102726,107
Yardi,248,201606,30,3,98515,98
Internal Auditor,108,201409,9,9,104405,48
Workforce Now,13,201707,43,4,101309,6
Secret Security Clearance,276,201606,30,66,98515,107
SAP,198,201812,60,1553,82761,80
JCL,113,201703,39,209,110263,50
Agile Development,14,201409,9,897,104405,7
TIG Welding,229,201604,28,153,91296,90
Sheet Metal Mechanic,206,201706,42,49,112365,86
Marketo,129,201804,52,18,119002,56
SPSS Statistics,105,201903,63,12,123132,47
Certified Anti Money Laundering Specialist,43,201511,23,17,89588,21
Spring Boot,211,201606,30,29,98515,87
KornShell,120,201409,9,59,104405,52
VBScript,149,201906,66,390,102962,62
Marketo,129,201502,14,55,89734,56
Augmented Reality,30,201401,1,3,33846,11
Natural Language Processing,270,201907,67,3,26524,105
SPSS Statistics,105,201401,1,5,33846,47
Network Support,163,201601,25,60,88469,68
Internal Auditor,108,201810,58,95,138853,48
Visual Basic,238,201411,11,1175,77278,93
After Effects,5,201906,66,97,102962,3
JCL,113,201606,30,325,98515,50
ActionScript,4,201710,46,1,128582,2
Network Support,163,201904,64,283,132847,68
Mastercam,58,201905,65,41,140823,26
Cisco Application Centric Infrastructure,264,201808,56,8,149917,103
End User Support,253,201607,31,253,88166,100
Junit,118,201412,12,242,63051,51
Security Risk Management,203,201605,29,28,89037,83
QuickBooks,109,201702,38,44,92181,49
IBM Notes,103,201411,11,0,77278,46
Linux Scripting,127,201609,33,7,95325,55
SAP,198,201506,18,2011,99253,80
FileMaker Pro,85,201509,21,5,93766,40
FileMaker Pro,85,201801,49,31,115683,40
Dynamics,138,201706,42,2415,112365,58
Kubernetes,121,201401,1,0,33846,53
Security Testing and Auditing,204,201406,6,24,32800,84
Web Security and Encryption,242,201709,45,40,114349,96
Online Analytical Processing,166,201608,32,38,104211,70
End User Support,253,201611,35,104,83334,100
CATIA,42,201902,62,27,107087,20
Mastercam,58,201402,2,21,27637,26
Secret Security Clearance,276,201404,4,16,33323,107
AEM Developer,266,201609,33,13,95325,104
SolidWorks,259,201904,64,288,132847,101
EnterpriseOne,171,201708,44,1,123189,71
TIG Welding,229,201702,38,276,92181,90
ASP.NET,28,201905,65,906,140823,10
Data Entry Software,66,201701,37,240,93237,31
T-SQL,232,201904,64,98,132847,92
Augmented Reality,30,201509,21,3,93766,11
Computer Aided Design and Drafting,61,201806,54,53,122500,27
AEM Developer,266,201511,23,3,89588,104
Ruby on Rails,195,201601,25,49,88469,79
Security Risk Management,203,201903,63,25,123132,83
Visual Basic,238,201801,49,745,115683,93
Internal Auditor,108,201808,56,157,149917,48
Crystal Reports,65,201802,50,76,109017,30
ActionScript,4,201609,33,2,95325,2
SketchUp Pro,230,201403,3,8,32230,91
Web Security and Encryption,242,201701,37,132,93237,96
VOIP,240,201408,8,161,88809,94
Mergers and Acquisitions,135,201803,51,15,121459,57
Augmented Reality,30,201407,7,5,68567,11
Microstation,36,201512,24,37,70310,16
Cognos Impromptu,100,201808,56,0,149917,44
Bash,35,201806,54,340,122500,15
Mastercam,58,201407,7,13,68567,26
Marketo,129,201812,60,24,82761,56
T-SQL,232,201611,35,106,83334,92
Typescript,260,201710,46,70,128582,102
Data Entry Software,66,201510,22,94,98076,31
Data Entry Software,66,201609,33,192,95325,31
Certified Credit Professional,44,201606,30,56,98515,22
VPN,241,201710,46,624,128582,95
Internal Auditor,108,201904,64,55,132847,48
Yardi,248,201905,65,16,140823,98
Deployment,69,201606,30,4094,98515,33
Revit,33,201906,66,156,102962,13
Online Analytical Processing,166,201403,3,17,32230,70
Security Testing and Auditing,204,201807,55,144,119017,84
CATIA,42,201803,51,39,121459,20
SAS,201,201506,18,287,99253,81
GIS Software,89,201502,14,29,89734,42
Visual Basic,238,201606,30,818,98515,93
The Raiser's Edge,37,201411,11,1,77278,17
Apache HTTP Server,20,201704,40,80,104890,8
Linux  ,126,201704,40,2473,104890,54
VBScript,149,201408,8,187,88809,62
PostgreSQL,182,201408,8,43,88809,73
EnterpriseOne,171,201404,4,2,33323,71
Computer Aided Design and Drafting,61,201406,6,23,32800,27
Dynamics,138,201602,26,3410,87681,58
FileMaker Pro,85,201411,11,1,77278,40
Revit,33,201903,63,162,123132,13
Blockchain,39,201501,13,0,93237,18
Internal Auditor,108,201612,36,14,62773,48
Minitab,156,201605,29,48,89037,65
Augmented Reality,30,201402,2,0,27637,11
Linux Scripting,127,201802,50,22,109017,55
Certified Anti Money Laundering Specialist,43,201601,25,0,88469,21
Golang,91,201812,60,12,82761,43
Certified Credit Professional,44,201404,4,0,33323,22
Agile Development,14,201807,55,1272,119017,7
Secret Security Clearance,276,201809,57,37,114604,107
QlikView,186,201408,8,55,88809,74
Financial Industry Regulatory Authority,86,201404,4,7,33323,41
IBM Notes,103,201809,57,0,114604,46
SQL Server Reporting Services,148,201511,23,178,89588,61
Security Policies and Procedures,202,201402,2,7,27637,82
Security Risk Management,203,201804,52,10,119002,83
MySQL,158,201601,25,305,88469,66
Drupal,73,201409,9,8,104405,36
Mastercam,58,201605,29,16,89037,26
CICS,55,201907,67,12,26524,25
AutoCAD,31,201608,32,528,104211,12
Online Analytical Processing,166,201709,45,61,114349,70
Spring Boot,211,201509,21,3,93766,87
InfoSphere DataStage,102,201809,57,51,114604,45
Certified Credit Professional,44,201405,5,4,31909,22
VBScript,149,201412,12,174,63051,62
PostgreSQL,182,201509,21,95,93766,73
Delphi Technology,68,201403,3,9,32230,32
QuickBooks,109,201411,11,36,77278,49
SPSS Statistics,105,201412,12,2,63051,47
Pipe Welding,180,201809,57,113,114604,72
Django,71,201504,16,17,96803,34
Risk Analyst,192,201710,46,983,128582,76
Security Policies and Procedures,202,201804,52,58,119002,82
Linux Scripting,127,201512,24,4,70310,55
Ruby,194,201808,56,678,149917,78
Mergers and Acquisitions,135,201406,6,6,32800,57
Delphi Technology,68,201801,49,3,115683,32
The Raiser's Edge,37,201410,10,0,106289,17
The Raiser's Edge,37,201901,61,0,122037,17
Marketo,129,201806,54,49,122500,56
Dodd-Frank,72,201512,24,110,70310,35
KornShell,120,201804,52,82,119002,52
InfoSphere DataStage,102,201410,10,300,106289,45
MicroStrategy,153,201709,45,12,114349,63
T-SQL,232,201809,57,15,114604,92
ASP.NET,28,201702,38,559,92181,10
Web Security and Encryption,242,201602,26,33,87681,96
Apache HTTP Server,20,201406,6,4,32800,8
ASP.NET,28,201804,52,470,119002,10
Bash,35,201802,50,291,109017,15
Outlook,142,201808,56,5231,149917,59
After Effects,5,201803,51,22,121459,3
SAP,198,201608,32,1881,104211,80
Ruby on Rails,195,201412,12,74,63051,79
ASP.NET,28,201505,17,722,88049,10
CATIA,42,201808,56,30,149917,20
QlikView,186,201907,67,12,26524,74
Revit,33,201602,26,207,87681,13
Outlook,142,201906,66,5651,102962,59
Pipe Welding,180,201801,49,92,115683,72
Certified Anti Money Laundering Specialist,43,201703,39,2,110263,21
Financial Industry Regulatory Authority,86,201804,52,7,119002,41
VPN,241,201605,29,897,89037,95
Financial Industry Regulatory Authority,86,201512,24,6,70310,41
SPSS Statistics,105,201702,38,27,92181,47
SAS,201,201807,55,361,119017,81
Risk and Compliance,193,201510,22,104,98076,77
Risk and Compliance,193,201606,30,113,98515,77
Security Policies and Procedures,202,201702,38,25,92181,82
Certified Financial Planner,45,201412,12,0,63051,23
Blockchain,39,201505,17,0,88049,18
The Raiser's Edge,37,201803,51,1,121459,17
Security Risk Management,203,201410,10,63,106289,83
MIG Welding,154,201704,40,504,104890,64
NoSQL,165,201907,67,28,26524,69
SQL Server,147,201610,34,1091,95676,60
Security Risk Management,203,201612,36,2,62773,83
Security Policies and Procedures,202,201610,34,67,95676,82
Marketo,129,201707,43,3,101309,56
EnterpriseOne,171,201506,18,3,99253,71
Spring Boot,211,201404,4,0,33323,87
ASP.NET,28,201710,46,346,128582,10
VPN,241,201612,36,323,62773,95
SketchUp Pro,230,201404,4,9,33323,91
AWS Cloud,34,201509,21,429,93766,14
XHTML,246,201703,39,28,110263,97
After Effects,5,201611,35,25,83334,3
VBScript,149,201502,14,277,89734,62
End User Support,253,201807,55,215,119017,100
Cisco Application Centric Infrastructure,264,201501,13,0,93237,103
Ruby,194,201508,20,595,94594,78
Ruby on Rails,195,201405,5,15,31909,79
SPSS Statistics,105,201601,25,5,88469,47
PostgreSQL,182,201609,33,225,95325,73
Switching and Routing,220,201601,25,222,88469,89
MySQL,158,201512,24,297,70310,66
PostgreSQL,182,201903,63,587,123132,73
Azure,251,201903,63,1482,123132,99
Certified Credit Professional,44,201410,10,17,106289,22
