master_term,master_term_id,yearmo,month_no,skill_pos_cnt,total_pos_cnt,loop_no
SketchUp Pro,230,201511,23,49,89588,91
QuickBooks,109,201505,17,29,88049,49
SketchUp Pro,230,201412,12,67,63051,91
Visual Basic,238,201410,10,1412,106289,93
AEM Developer,266,201508,20,32,94594,104
Computer Aided Design and Drafting,61,201804,52,172,119002,27
Spring Boot,211,201504,16,0,96803,87
Cognos Impromptu,100,201802,50,0,109017,44
Pipe Welding,180,201511,23,46,89588,72
Augmented Reality,30,201403,3,0,32230,11
Outlook,142,201806,54,4611,122500,59
SQL Server,147,201404,4,329,33323,60
Augmented Reality,30,201607,31,1,88166,11
Epic Systems,79,201705,41,663,119820,37
AWS Cloud,34,201805,53,530,124699,14
NoSQL,165,201402,2,23,27637,69
Linux Scripting,127,201708,44,19,123189,55
JCL,113,201411,11,196,77278,50
Outlook,142,201902,62,3263,107087,59
QuickBooks,109,201804,52,46,119002,49
Content Strategy,62,201806,54,49,122500,28
Minitab,156,201506,18,42,99253,65
Risk and Compliance,193,201702,38,139,92181,77
FileMaker Pro,85,201601,25,33,88469,40
Blockchain,39,201902,62,1,107087,18
Sheet Metal Mechanic,206,201906,66,69,102962,86
Certified Credit Professional,44,201701,37,8,93237,22
Minitab,156,201812,60,67,82761,65
NetSuite ERP,161,201901,61,27,122037,67
Visual Basic,238,201504,16,1225,96803,93
ActiveX,2,201903,63,2,123132,1
Online Analytical Processing,166,201901,61,41,122037,70
MIG Welding,154,201708,44,749,123189,64
KornShell,120,201809,57,8,114604,52
Security Risk Management,203,201806,54,3,122500,83
Content Strategy,62,201502,14,20,89734,28
erwin,80,201403,3,12,32230,38
InfoSphere DataStage,102,201408,8,328,88809,45
erwin,80,201405,5,8,31909,38
Security Testing and Auditing,204,201610,34,82,95676,84
Web Security and Encryption,242,201508,20,32,94594,96
Cognos Impromptu,100,201407,7,0,68567,44
MIG Welding,154,201809,57,524,114604,64
NoSQL,165,201705,41,740,119820,69
Cognos Impromptu,100,201405,5,0,31909,44
SolidWorks,259,201506,18,397,99253,101
CATIA,42,201804,52,44,119002,20
NetSuite ERP,161,201905,65,69,140823,67
Golang,91,201406,6,1,32800,43
NoSQL,165,201706,42,530,112365,69
Fireworks,8,201508,20,9,94594,5
Ruby,194,201401,1,69,33846,78
VBScript,149,201803,51,120,121459,62
Fireworks,8,201812,60,2,82761,5
Pipe Welding,180,201503,15,87,102726,72
VOIP,240,201907,67,37,26524,94
Chatbot,53,201902,62,18,107087,24
Dodd-Frank,72,201706,42,3,112365,35
VOIP,240,201803,51,237,121459,94
NetSuite ERP,161,201607,31,8,88166,67
Drupal,73,201712,48,14,76994,36
AWS Cloud,34,201402,2,5,27637,14
JCL,113,201406,6,14,32800,50
Security Testing and Auditing,204,201604,28,62,91296,84
IBM Notes,103,201508,20,0,94594,46
Agile Development,14,201707,43,713,101309,7
Yardi,248,201711,47,6,102152,98
Certified Anti Money Laundering Specialist,43,201612,36,16,62773,21
Certified Financial Planner,45,201601,25,1,88469,23
MySQL,158,201903,63,704,123132,66
Linux  ,126,201802,50,2100,109017,54
Agile Development,14,201611,35,498,83334,7
The Raiser's Edge,37,201505,17,0,88049,17
Apache HTTP Server,20,201602,26,1,87681,8
Security Policies and Procedures,202,201709,45,71,114349,82
TIG Welding,229,201508,20,239,94594,90
Pipe Welding,180,201709,45,71,114349,72
SketchUp Pro,230,201609,33,57,95325,91
Bash,35,201712,48,206,76994,15
Ruby on Rails,195,201505,17,110,88049,79
Web Security and Encryption,242,201501,13,30,93237,96
Bash,35,201603,27,339,100182,15
Blockchain,39,201409,9,0,104405,18
Microstation,36,201508,20,51,94594,16
Computer Aided Design and Drafting,61,201403,3,14,32230,27
ActiveX,2,201412,12,0,63051,1
Kubernetes,121,201706,42,84,112365,53
Revit,33,201601,25,190,88469,13
Cost Accounting,63,201903,63,42,123132,29
Augmented Reality,30,201603,27,2,100182,11
Ruby,194,201904,64,550,132847,78
XHTML,246,201709,45,40,114349,97
Selenium,205,201907,67,20,26524,85
InfoSphere DataStage,102,201812,60,24,82761,45
VPN,241,201601,25,657,88469,95
After Effects,5,201703,39,75,110263,3
PostgreSQL,182,201508,20,108,94594,73
Certified Anti Money Laundering Specialist,43,201902,62,54,107087,21
SAP,198,201703,39,1831,110263,80
Spring Boot,211,201501,13,1,93237,87
ActiveX,2,201811,59,3,111219,1
Certified Credit Professional,44,201808,56,6,149917,22
Business Intelligence,41,201610,34,551,95676,19
Security Testing and Auditing,204,201411,11,141,77278,84
ASP.NET,28,201409,9,446,104405,10
Data Entry Software,66,201412,12,295,63051,31
Fireworks,8,201805,53,35,124699,5
Selenium,205,201706,42,447,112365,85
TIG Welding,229,201406,6,225,32800,90
Junit,118,201607,31,196,88166,51
Security Policies and Procedures,202,201503,15,240,102726,82
Security Risk Management,203,201802,50,16,109017,83
Typescript,260,201709,45,160,114349,102
Dynamics,138,201905,65,3767,140823,58
Yardi,248,201402,2,3,27637,98
Risk Analyst,192,201705,41,579,119820,76
XHTML,246,201501,13,49,93237,97
SAP,198,201905,65,3474,140823,80
Sheet Metal Mechanic,206,201407,7,22,68567,86
Yardi,248,201605,29,3,89037,98
VPN,241,201407,7,283,68567,95
Solr,22,201606,30,45,98515,9
Linux  ,126,201510,22,3277,98076,54
Secret Security Clearance,276,201906,66,89,102962,107
IBM Notes,103,201612,36,0,62773,46
Certified Financial Planner,45,201803,51,2,121459,23
SPSS Statistics,105,201711,47,51,102152,47
Mastercam,58,201607,31,24,88166,26
Ruby on Rails,195,201907,67,1,26524,79
Kubernetes,121,201608,32,2,104211,53
Typescript,260,201502,14,1,89734,102
Augmented Reality,30,201411,11,3,77278,11
AutoCAD,31,201906,66,403,102962,12
Drupal,73,201512,24,29,70310,36
Online Analytical Processing,166,201601,25,207,88469,70
Epic Systems,79,201402,2,89,27637,37
Ruby on Rails,195,201501,13,34,93237,79
NetSuite ERP,161,201602,26,54,87681,67
AWS Cloud,34,201610,34,359,95676,14
PostgreSQL,182,201603,27,276,100182,73
Visual Basic,238,201406,6,36,32800,93
Dodd-Frank,72,201403,3,5,32230,35
After Effects,5,201502,14,125,89734,3
Secret Security Clearance,276,201704,40,11,104890,107
ActiveX,2,201708,44,5,123189,1
Ruby,194,201405,5,49,31909,78
Online Analytical Processing,166,201701,37,127,93237,70
Crystal Reports,65,201402,2,40,27637,30
KornShell,120,201505,17,100,88049,52
NetSuite ERP,161,201507,19,35,97791,67
Stata,214,201509,21,1,93766,88
Blockchain,39,201906,66,2,102962,18
Solr,22,201901,61,48,122037,9
Linux  ,126,201402,2,357,27637,54
FileMaker Pro,85,201607,31,3,88166,40
MIG Welding,154,201603,27,389,100182,64
Linux  ,126,201611,35,1556,83334,54
SQL Server,147,201411,11,1769,77278,60
Stata,214,201809,57,0,114604,88
Mastercam,58,201904,64,49,132847,26
Sheet Metal Mechanic,206,201406,6,30,32800,86
Risk Analyst,192,201812,60,290,82761,76
Data Entry Software,66,201906,66,2872,102962,31
EnterpriseOne,171,201809,57,0,114604,71
SPSS Statistics,105,201710,46,59,128582,47
SPSS Statistics,105,201409,9,1,104405,47
Django,71,201407,7,11,68567,34
XHTML,246,201506,18,117,99253,97
Dreamweaver,7,201703,39,48,110263,4
IBM Notes,103,201401,1,0,33846,46
GIS Software,89,201409,9,11,104405,42
FileMaker Pro,85,201809,57,9,114604,40
Ruby on Rails,195,201506,18,157,99253,79
T-SQL,232,201610,34,87,95676,92
Apache HTTP Server,20,201810,58,7,138853,8
Security Risk Management,203,201901,61,9,122037,83
VBScript,149,201712,48,17,76994,62
FileMaker Pro,85,201712,48,3,76994,40
VBScript,149,201710,46,101,128582,62
Linux  ,126,201709,45,2510,114349,54
Microstation,36,201504,16,54,96803,16
VOIP,240,201904,64,193,132847,94
Marketo,129,201703,39,29,110263,56
CATIA,42,201502,14,73,89734,20
Selenium,205,201906,66,605,102962,85
InfoSphere DataStage,102,201607,31,102,88166,45
Mergers and Acquisitions,135,201807,55,51,119017,57
Delphi Technology,68,201610,34,12,95676,32
Business Intelligence,41,201807,55,806,119017,19
MIG Welding,154,201806,54,718,122500,64
Certified Anti Money Laundering Specialist,43,201702,38,0,92181,21
Blockchain,39,201608,32,45,104211,18
Cognos Impromptu,100,201906,66,1,102962,44
Mergers and Acquisitions,135,201404,4,5,33323,57
AWS Cloud,34,201411,11,117,77278,14
Pipe Welding,180,201612,36,26,62773,72
QuickBooks,109,201503,15,36,102726,49
Azure,251,201811,59,1400,111219,99
Augmented Reality,30,201801,49,4,115683,11
AWS Cloud,34,201812,60,413,82761,14
Visual Basic,238,201610,34,649,95676,93
Epic Systems,79,201809,57,408,114604,37
FileMaker Pro,85,201402,2,5,27637,40
AEM Developer,266,201906,66,117,102962,104
SAS,201,201505,17,529,88049,81
Selenium,205,201506,18,453,99253,85
Apache HTTP Server,20,201606,30,24,98515,8
Typescript,260,201605,29,19,89037,102
End User Support,253,201710,46,169,128582,100
Outlook,142,201704,40,2912,104890,59
Certified Anti Money Laundering Specialist,43,201801,49,0,115683,21
Fireworks,8,201404,4,10,33323,5
Computer Aided Design and Drafting,61,201603,27,21,100182,27
ASP.NET,28,201405,5,148,31909,10
Internal Auditor,108,201804,52,106,119002,48
Sheet Metal Mechanic,206,201604,28,14,91296,86
IBM Notes,103,201402,2,0,27637,46
Mastercam,58,201403,3,20,32230,26
Network Support,163,201808,56,127,149917,68
Top Secret Security Clearance,274,201504,16,0,96803,106
VPN,241,201603,27,1029,100182,95
Mastercam,58,201902,62,34,107087,26
Junit,118,201510,22,576,98076,51
Network Support,163,201508,20,69,94594,68
IBM Notes,103,201804,52,0,119002,46
MySQL,158,201807,55,630,119017,66
erwin,80,201705,41,31,119820,38
Linux  ,126,201812,60,1683,82761,54
Marketo,129,201907,67,0,26524,56
Switching and Routing,220,201406,6,48,32800,89
Typescript,260,201702,38,51,92181,102
Yardi,248,201406,6,0,32800,98
Fireworks,8,201807,55,6,119017,5
Minitab,156,201903,63,102,123132,65
Chatbot,53,201503,15,0,102726,24
SPSS Statistics,105,201807,55,15,119017,47
Financial Industry Regulatory Authority,86,201803,51,8,121459,41
NetSuite ERP,161,201508,20,4,94594,67
Switching and Routing,220,201810,58,150,138853,89
AWS Cloud,34,201704,40,305,104890,14
Risk Analyst,192,201805,53,595,124699,76
Security Risk Management,203,201709,45,10,114349,83
SPSS Statistics,105,201605,29,43,89037,47
Business Intelligence,41,201507,19,600,97791,19
Epic Systems,79,201512,24,261,70310,37
Risk Analyst,192,201702,38,552,92181,76
Sheet Metal Mechanic,206,201410,10,40,106289,86
Secret Security Clearance,276,201607,31,90,88166,107
VOIP,240,201606,30,475,98515,94
Risk Analyst,192,201811,59,560,111219,76
Mastercam,58,201807,55,16,119017,26
After Effects,5,201510,22,130,98076,3
Apache HTTP Server,20,201706,42,31,112365,8
GIS Software,89,201804,52,3,119002,42
Sheet Metal Mechanic,206,201811,59,34,111219,86
QuickBooks,109,201506,18,37,99253,49
